row_id,order_id,order_date,customer_id,customer_name,segment,city,state,product_id,category,sub_category,product_name,sales,quantity,discount,profit,order_year,order_month,order_dayofweek
43,CA-2016-101343,2016-07-17,RA-19885,Ruben Ausman,Corporate,Los Angeles,California,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",78,2,0,4,2016,2016-07,Sunday
44,CA-2017-139619,2017-09-19,ES-14080,Erin Smith,Corporate,Melbourne,Florida,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",96,2,0,10,2017,2017-09,Tuesday
45,CA-2016-118255,2016-03-11,ON-18715,Odella Nelson,Corporate,Eagan,Minnesota,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",46,2,0,20,2016,2016-03,Friday
46,CA-2016-118255,2016-03-11,ON-18715,Odella Nelson,Corporate,Eagan,Minnesota,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17,2,0,8,2016,2016-03,Friday
47,CA-2014-146703,2014-10-20,PO-18865,Patrick O'Donnell,Consumer,Westland,Michigan,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",212,4,0,8,2014,2014-10,Monday
48,CA-2016-169194,2016-06-20,LH-16900,Lena Hernandez,Consumer,Dover,Delaware,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45,3,0,5,2016,2016-06,Monday
49,CA-2016-169194,2016-06-20,LH-16900,Lena Hernandez,Consumer,Dover,Delaware,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",22,2,0,6,2016,2016-06,Monday
50,CA-2015-115742,2015-04-18,DP-13000,Darren Powers,Consumer,New Albany,Indiana,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38,6,0,18,2015,2015-04,Saturday
51,CA-2015-115742,2015-04-18,DP-13000,Darren Powers,Consumer,New Albany,Indiana,OFF-LA-10002762,Office Supplies,Labels,Avery 485,75,6,0,35,2015,2015-04,Saturday
52,CA-2015-115742,2015-04-18,DP-13000,Darren Powers,Consumer,New Albany,Indiana,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6,2,0,3,2015,2015-04,Saturday
53,CA-2015-115742,2015-04-18,DP-13000,Darren Powers,Consumer,New Albany,Indiana,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",90,1,0,17,2015,2015-04,Saturday
54,CA-2016-105816,2016-12-11,JM-15265,Janet Molinari,Corporate,New York City,New York,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15,7,0,6,2016,2016-12,Sunday
55,CA-2016-105816,2016-12-11,JM-15265,Janet Molinari,Corporate,New York City,New York,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1030,5,0,299,2016,2016-12,Sunday
56,CA-2016-111682,2016-06-17,TB-21055,Ted Butterfield,Consumer,Troy,New York,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,209,6,0,52,2016,2016-06,Friday
57,CA-2016-111682,2016-06-17,TB-21055,Ted Butterfield,Consumer,Troy,New York,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32,5,0,16,2016,2016-06,Friday
58,CA-2016-111682,2016-06-17,TB-21055,Ted Butterfield,Consumer,Troy,New York,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319,5,0,7,2016,2016-06,Friday
59,CA-2016-111682,2016-06-17,TB-21055,Ted Butterfield,Consumer,Troy,New York,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",15,2,0,7,2016,2016-06,Friday
60,CA-2016-111682,2016-06-17,TB-21055,Ted Butterfield,Consumer,Troy,New York,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30,2,0,3,2016,2016-06,Friday
61,CA-2016-111682,2016-06-17,TB-21055,Ted Butterfield,Consumer,Troy,New York,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48,4,0,16,2016,2016-06,Friday
62,CA-2016-111682,2016-06-17,TB-21055,Ted Butterfield,Consumer,Troy,New York,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,2,1,0,1,2016,2016-06,Friday
63,CA-2015-135545,2015-11-24,KM-16720,Kunst Miller,Consumer,Los Angeles,California,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",14,2,0,6,2015,2015-11,Tuesday
64,CA-2015-135545,2015-11-24,KM-16720,Kunst Miller,Consumer,Los Angeles,California,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",26,6,0,9,2015,2015-11,Tuesday
65,CA-2015-135545,2015-11-24,KM-16720,Kunst Miller,Consumer,Los Angeles,California,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,147,3,0,69,2015,2015-11,Tuesday
66,CA-2015-135545,2015-11-24,KM-16720,Kunst Miller,Consumer,Los Angeles,California,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,80,4,0,22,2015,2015-11,Tuesday
67,US-2015-164175,2015-04-30,PS-18970,Paul Stevenson,Home Office,Chicago,Illinois,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213,5,0,-15,2015,2015-04,Thursday
68,CA-2014-106376,2014-12-05,BS-11590,Brendan Sweed,Corporate,Gilbert,Arizona,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113,8,0,111,2014,2014-12,Friday
69,CA-2014-106376,2014-12-05,BS-11590,Brendan Sweed,Corporate,Gilbert,Arizona,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,168,4,0,63,2014,2014-12,Friday
70,CA-2016-119823,2016-06-04,KD-16270,Karen Daniels,Consumer,Springfield,Virginia,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",76,2,0,36,2016,2016-06,Saturday
71,CA-2016-106075,2016-09-18,HM-14980,Henry MacAllister,Consumer,New York City,New York,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,5,1,0,2,2016,2016-09,Sunday
72,CA-2017-114440,2017-09-14,TB-21520,Tracy Blumstein,Consumer,Jackson,Michigan,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19,3,0,9,2017,2017-09,Thursday
73,US-2015-134026,2015-04-26,JE-15745,Joel Eaton,Consumer,Memphis,Tennessee,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,832,8,0,-114,2015,2015-04,Sunday
74,US-2015-134026,2015-04-26,JE-15745,Joel Eaton,Consumer,Memphis,Tennessee,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97,2,0,1,2015,2015-04,Sunday
75,US-2015-134026,2015-04-26,JE-15745,Joel Eaton,Consumer,Memphis,Tennessee,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,73,1,0,-18,2015,2015-04,Sunday
76,US-2017-118038,2017-12-09,KB-16600,Ken Brennan,Corporate,Houston,Texas,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1,3,1,-2,2017,2017-12,Saturday
77,US-2017-118038,2017-12-09,KB-16600,Ken Brennan,Corporate,Houston,Texas,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",10,3,1,-6,2017,2017-12,Saturday
78,US-2017-118038,2017-12-09,KB-16600,Ken Brennan,Corporate,Houston,Texas,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27,3,0,3,2017,2017-12,Saturday
79,US-2014-147606,2014-11-26,JE-15745,Joel Eaton,Consumer,Houston,Texas,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19,5,1,-14,2014,2014-11,Wednesday
80,CA-2016-127208,2016-06-12,SC-20770,Stewart Carmichael,Corporate,Decatur,Alabama,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208,1,0,56,2016,2016-06,Sunday
81,CA-2016-127208,2016-06-12,SC-20770,Stewart Carmichael,Corporate,Decatur,Alabama,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,17,3,0,8,2016,2016-06,Sunday
82,CA-2014-139451,2014-10-12,DN-13690,Duane Noonan,Consumer,San Francisco,California,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",15,5,0,4,2014,2014-10,Sunday
83,CA-2014-139451,2014-10-12,DN-13690,Duane Noonan,Consumer,San Francisco,California,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21,1,0,6,2014,2014-10,Sunday
84,CA-2015-149734,2015-09-03,JC-16105,Julie Creighton,Corporate,Durham,North Carolina,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,201,7,0,63,2015,2015-09,Thursday
85,US-2017-119662,2017-11-13,CS-12400,Christopher Schild,Home Office,Chicago,Illinois,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230,3,0,-49,2017,2017-11,Monday
86,CA-2017-140088,2017-05-28,PO-18865,Patrick O'Donnell,Consumer,Columbia,South Carolina,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,302,2,0,33,2017,2017-05,Sunday
87,CA-2017-155558,2017-10-26,PG-18895,Paul Gonzalez,Consumer,Rochester,Minnesota,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,20,1,0,7,2017,2017-10,Thursday
88,CA-2017-155558,2017-10-26,PG-18895,Paul Gonzalez,Consumer,Rochester,Minnesota,OFF-LA-10000134,Office Supplies,Labels,Avery 511,6,2,0,3,2017,2017-10,Thursday
89,CA-2016-159695,2016-04-05,GM-14455,Gary Mitchum,Home Office,Houston,Texas,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158,7,0,14,2016,2016-04,Tuesday
90,CA-2016-109806,2016-09-17,JS-15685,Jim Sink,Corporate,Los Angeles,California,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20,3,0,7,2016,2016-09,Saturday
91,CA-2016-109806,2016-09-17,JS-15685,Jim Sink,Corporate,Los Angeles,California,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,74,2,0,8,2016,2016-09,Saturday
92,CA-2016-109806,2016-09-17,JS-15685,Jim Sink,Corporate,Los Angeles,California,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,6,1,0,3,2016,2016-09,Saturday
93,CA-2015-149587,2015-01-31,KB-16315,Karl Braun,Consumer,Minneapolis,Minnesota,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,13,2,0,6,2015,2015-01,Saturday
94,CA-2015-149587,2015-01-31,KB-16315,Karl Braun,Consumer,Minneapolis,Minnesota,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53,3,0,17,2015,2015-01,Saturday
95,CA-2015-149587,2015-01-31,KB-16315,Karl Braun,Consumer,Minneapolis,Minnesota,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,33,2,0,16,2015,2015-01,Saturday
96,US-2017-109484,2017-11-06,RB-19705,Roger Barcio,Home Office,Portland,Oregon,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,6,1,1,-4,2017,2017-11,Monday
97,CA-2017-161018,2017-11-09,PN-18775,Parhena Norris,Home Office,New York City,New York,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,97,7,0,41,2017,2017-11,Thursday
98,CA-2017-157833,2017-06-17,KD-16345,Katherine Ducich,Consumer,San Francisco,California,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,51,3,0,18,2017,2017-06,Saturday
99,CA-2016-149223,2016-09-06,ER-13855,Elpida Rittenbach,Corporate,Saint Paul,Minnesota,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,78,6,0,23,2016,2016-09,Tuesday
100,CA-2016-158568,2016-08-29,RB-19465,Rick Bensley,Home Office,Chicago,Illinois,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,65,7,0,23,2016,2016-08,Monday
101,CA-2016-158568,2016-08-29,RB-19465,Rick Bensley,Home Office,Chicago,Illinois,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,96,3,0,-11,2016,2016-08,Monday
102,CA-2016-158568,2016-08-29,RB-19465,Rick Bensley,Home Office,Chicago,Illinois,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,2,3,1,-3,2016,2016-08,Monday
103,CA-2016-129903,2016-12-01,GZ-14470,Gary Zandusky,Consumer,Rochester,Minnesota,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),24,4,0,12,2016,2016-12,Thursday
104,US-2015-156867,2015-11-13,LC-16870,Lena Cacioppo,Consumer,Aurora,Colorado,TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,239,6,0,-27,2015,2015-11,Friday
105,US-2015-156867,2015-11-13,LC-16870,Lena Cacioppo,Consumer,Aurora,Colorado,FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102,3,0,-4,2015,2015-11,Friday
106,US-2015-156867,2015-11-13,LC-16870,Lena Cacioppo,Consumer,Aurora,Colorado,OFF-BI-10002794,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",37,3,1,-26,2015,2015-11,Friday
107,CA-2017-119004,2017-11-23,JM-15250,Janet Martin,Consumer,Charlotte,North Carolina,TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74,8,0,18,2017,2017-11,Thursday
108,CA-2017-119004,2017-11-23,JM-15250,Janet Martin,Consumer,Charlotte,North Carolina,TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case,28,1,0,2,2017,2017-11,Thursday
109,CA-2017-119004,2017-11-23,JM-15250,Janet Martin,Consumer,Charlotte,North Carolina,OFF-AR-10000390,Office Supplies,Art,Newell Chalk Holder,3,1,0,1,2017,2017-11,Thursday
110,CA-2015-129476,2015-10-15,PA-19060,Pete Armstrong,Home Office,Orland Park,Illinois,TEC-AC-10000844,Technology,Accessories,Logitech Gaming G510s - Keyboard,340,5,0,68,2015,2015-10,Thursday
111,CA-2017-146780,2017-12-25,CV-12805,Cynthia Voltz,Corporate,New York City,New York,FUR-FU-10001934,Furniture,Furnishings,Magnifier Swing Arm Lamp,42,2,0,11,2017,2017-12,Monday
112,CA-2016-128867,2016-11-03,CL-12565,Clay Ludtke,Consumer,Urbandale,Iowa,OFF-AR-10000380,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",76,2,0,23,2016,2016-11,Thursday
113,CA-2016-128867,2016-11-03,CL-12565,Clay Ludtke,Consumer,Urbandale,Iowa,OFF-BI-10003981,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",27,6,0,13,2016,2016-11,Thursday
114,CA-2014-115259,2014-08-25,RC-19960,Ryan Crowe,Consumer,Columbus,Ohio,OFF-FA-10000621,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",40,14,0,15,2014,2014-08,Monday
115,CA-2014-115259,2014-08-25,RC-19960,Ryan Crowe,Consumer,Columbus,Ohio,OFF-EN-10002600,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",5,2,0,2,2014,2014-08,Monday
116,CA-2014-115259,2014-08-25,RC-19960,Ryan Crowe,Consumer,Columbus,Ohio,OFF-PA-10004965,Office Supplies,Paper,Xerox 1921,24,3,0,7,2014,2014-08,Monday
117,CA-2014-115259,2014-08-25,RC-19960,Ryan Crowe,Consumer,Columbus,Ohio,OFF-EN-10002504,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130,6,0,44,2014,2014-08,Monday
118,CA-2015-110457,2015-03-02,DK-13090,Dave Kipp,Consumer,Seattle,Washington,FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables,788,3,0,165,2015,2015-03,Monday
119,US-2015-136476,2015-04-05,GG-14650,Greg Guthrie,Corporate,Bristol,Tennessee,OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,158,1,1,-116,2015,2015-04,Sunday
120,CA-2016-103730,2016-06-12,SC-20725,Steven Cartwright,Consumer,Wilmington,Delaware,FUR-FU-10002157,Furniture,Furnishings,Artistic Insta-Plaque,47,3,0,18,2016,2016-06,Sunday
121,CA-2016-103730,2016-06-12,SC-20725,Steven Cartwright,Consumer,Wilmington,Delaware,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,31,4,0,14,2016,2016-06,Sunday
122,CA-2016-103730,2016-06-12,SC-20725,Steven Cartwright,Consumer,Wilmington,Delaware,OFF-ST-10000777,Office Supplies,Storage,"Companion Letter/Legal File, Black",227,6,0,63,2016,2016-06,Sunday
